image,tense,energetic,valence,approach,room_type
bedroom__37.png,2.0,2.9166666666666665,4.583333333333333,4.833333333333333,bedroom
bedroom__38.png,2.9565217391304346,3.3043478260869565,4.125,3.8333333333333335,bedroom
bedroom__39.png,2.0869565217391304,2.217391304347826,4.958333333333333,5.041666666666667,bedroom
bedroom__4.png,3.4285714285714284,2.761904761904762,4.291666666666667,4.333333333333333,bedroom
bedroom__40.png,2.3333333333333335,2.625,4.375,4.291666666666667,bedroom
bedroom__41.png,2.2916666666666665,3.4166666666666665,4.791666666666667,4.708333333333333,bedroom
bedroom__42.png,2.7916666666666665,3.0,5.041666666666667,5.041666666666667,bedroom
bedroom__43.png,2.9166666666666665,2.75,4.541666666666667,4.541666666666667,bedroom
bedroom__44.png,2.8333333333333335,2.9166666666666665,3.6666666666666665,3.625,bedroom
bedroom__45.png,2.125,3.6666666666666665,4.782608695652174,4.6521739130434785,bedroom
bedroom__46.png,2.75,4.083333333333333,4.791666666666667,4.958333333333333,bedroom
bedroom__47.png,2.6666666666666665,2.9166666666666665,4.45,4.35,bedroom
bedroom__48.png,3.4166666666666665,4.041666666666667,4.217391304347826,4.043478260869565,bedroom
bedroom__49.png,2.375,3.7083333333333335,5.260869565217392,5.217391304347826,bedroom
bedroom__5.png,2.9583333333333335,2.875,3.4347826086956523,3.260869565217391,bedroom
bedroom__50.png,3.7083333333333335,2.4166666666666665,3.25,3.0833333333333335,bedroom
bedroom__51.png,3.9166666666666665,4.125,2.782608695652174,2.652173913043478,bedroom
bedroom__52.png,1.826086956521739,2.5652173913043477,5.916666666666667,5.833333333333333,bedroom
bedroom__53.png,3.4761904761904763,3.761904761904762,3.0416666666666665,2.875,bedroom
bedroom__54.png,2.75,3.0833333333333335,3.875,3.4166666666666665,bedroom
bedroom__55.png,2.4782608695652173,2.6956521739130435,3.875,3.9166666666666665,bedroom
bedroom__56.png,2.391304347826087,2.6956521739130435,4.7894736842105265,4.631578947368421,bedroom
bedroom__57.png,1.875,3.2083333333333335,5.15,4.9,bedroom
bedroom__58.png,2.652173913043478,3.130434782608696,4.947368421052632,5.0,bedroom
bedroom__59.png,4.5,3.5416666666666665,3.2916666666666665,3.3333333333333335,bedroom
bedroom__6.png,1.8333333333333333,2.75,6.304347826086956,6.304347826086956,bedroom
bedroom__60.png,2.7916666666666665,3.0,4.458333333333333,4.458333333333333,bedroom
bedroom__61.png,2.375,3.5416666666666665,4.260869565217392,4.130434782608695,bedroom
bedroom__62.png,3.0952380952380953,3.238095238095238,4.458333333333333,4.375,bedroom
bedroom__63.png,2.2083333333333335,3.2083333333333335,4.086956521739131,3.9130434782608696,bedroom
bedroom__64.png,4.583333333333333,3.5,2.8333333333333335,2.4166666666666665,bedroom
bedroom__65.png,2.375,3.25,4.304347826086956,4.478260869565218,bedroom
bedroom__66.png,2.25,2.5416666666666665,5.333333333333333,5.208333333333333,bedroom
bedroom__67.png,3.142857142857143,3.238095238095238,3.9166666666666665,4.125,bedroom
bedroom__68.png,2.25,2.75,4.208333333333333,4.208333333333333,bedroom
bedroom__69.png,2.4583333333333335,2.3333333333333335,4.791666666666667,4.916666666666667,bedroom
bedroom__7.png,2.4583333333333335,2.5833333333333335,4.583333333333333,4.541666666666667,bedroom
bedroom__70.png,3.9166666666666665,3.4583333333333335,2.6666666666666665,2.5833333333333335,bedroom
bedroom__71.png,2.1666666666666665,2.375,4.75,4.375,bedroom
bedroom__72.png,2.5833333333333335,3.5,4.583333333333333,4.583333333333333,bedroom
bedroom__73.png,2.0434782608695654,2.260869565217391,5.458333333333333,5.416666666666667,bedroom
bedroom__74.png,2.4761904761904763,2.0,4.916666666666667,4.833333333333333,bedroom
bedroom__75.png,2.7142857142857144,2.761904761904762,3.9166666666666665,3.75,bedroom
bedroom__76.png,2.8333333333333335,2.9166666666666665,4.375,4.458333333333333,bedroom
bedroom__77.png,2.5833333333333335,2.9166666666666665,5.0,5.291666666666667,bedroom
bedroom__78.png,2.3333333333333335,2.0833333333333335,4.166666666666667,4.291666666666667,bedroom
bedroom__79.png,2.4583333333333335,2.75,4.695652173913044,4.565217391304348,bedroom
bedroom__8.png,2.9166666666666665,3.0,2.7916666666666665,2.7916666666666665,bedroom
bedroom__80.png,2.2857142857142856,2.619047619047619,5.125,5.208333333333333,bedroom
bedroom__81.png,2.260869565217391,2.4347826086956523,4.869565217391305,4.913043478260869,bedroom
bedroom__82.png,2.3333333333333335,2.5,5.0,4.916666666666667,bedroom
bedroom__83.png,2.7083333333333335,3.5,4.478260869565218,4.391304347826087,bedroom
bedroom__84.png,2.25,2.875,5.458333333333333,5.625,bedroom
bedroom__85.png,2.1904761904761907,3.1904761904761907,4.708333333333333,4.791666666666667,bedroom
bedroom__86.png,2.0,2.260869565217391,5.833333333333333,5.916666666666667,bedroom
bedroom__87.png,2.6666666666666665,3.0833333333333335,4.173913043478261,4.3478260869565215,bedroom
bedroom__88.png,2.875,3.1666666666666665,4.826086956521739,4.782608695652174,bedroom
bedroom__89.png,2.2916666666666665,3.25,5.291666666666667,5.416666666666667,bedroom
bedroom__9.png,2.5,2.8333333333333335,4.833333333333333,4.833333333333333,bedroom
bedroom__90.png,3.1666666666666665,3.5,3.9565217391304346,3.869565217391304,bedroom
bedroom__91.png,3.5238095238095237,2.4761904761904763,4.0,3.875,bedroom
bedroom__92.png,2.5416666666666665,2.3333333333333335,3.6666666666666665,3.5,bedroom
bedroom__93.png,2.5833333333333335,2.9583333333333335,4.090909090909091,3.909090909090909,bedroom
bedroom__94.png,2.8260869565217392,2.9130434782608696,3.9166666666666665,3.625,bedroom
bedroom__95.png,2.7916666666666665,2.7083333333333335,5.181818181818182,5.045454545454546,bedroom
bedroom__96.png,2.6666666666666665,2.75,4.833333333333333,4.75,bedroom
bedroom__97.png,2.375,2.4583333333333335,4.217391304347826,4.260869565217392,bedroom
bedroom__98.png,2.0833333333333335,2.5833333333333335,4.375,4.458333333333333,bedroom
bedroom__99.png,2.9583333333333335,3.125,4.708333333333333,4.75,bedroom
dining room__0.png,2.5416666666666665,5.208333333333333,5.363636363636363,5.545454545454546,dining room
dining room__1.png,2.75,5.208333333333333,4.434782608695652,4.434782608695652,dining room
dining room__10.png,2.5833333333333335,5.375,5.791666666666667,5.791666666666667,dining room
dining room__100.png,3.5833333333333335,5.083333333333333,4.916666666666667,4.833333333333333,dining room
dining room__101.png,3.0952380952380953,4.714285714285714,5.375,5.375,dining room
dining room__102.png,3.8333333333333335,4.875,3.75,4.166666666666667,dining room
dining room__103.png,2.75,5.0,4.217391304347826,4.434782608695652,dining room
dining room__104.png,4.095238095238095,4.904761904761905,3.75,3.7083333333333335,dining room
dining room__105.png,3.0434782608695654,5.521739130434782,5.083333333333333,4.541666666666667,dining room
dining room__106.png,4.0,4.958333333333333,4.2631578947368425,4.473684210526316,dining room
dining room__107.png,3.6666666666666665,5.333333333333333,4.583333333333333,4.875,dining room
dining room__108.png,3.25,5.166666666666667,4.956521739130435,4.869565217391305,dining room
dining room__109.png,3.1666666666666665,4.458333333333333,4.583333333333333,4.708333333333333,dining room
dining room__11.png,2.6666666666666665,5.458333333333333,4.6521739130434785,4.434782608695652,dining room
dining room__110.png,3.5833333333333335,5.166666666666667,4.708333333333333,4.875,dining room
dining room__111.png,3.0833333333333335,4.791666666666667,3.608695652173913,3.5217391304347827,dining room
dining room__112.png,3.391304347826087,5.956521739130435,4.25,3.875,dining room
dining room__113.png,4.608695652173913,4.260869565217392,3.0,2.7916666666666665,dining room
dining room__114.png,2.7142857142857144,4.809523809523809,5.5,5.708333333333333,dining room
dining room__115.png,3.25,5.125,5.375,5.375,dining room
